Reviews,Stars
God this place is simply awful. I wouldn't wish this treatment on my worst enemy. I really wish politations and other Americans would care more about Veterans. Disgusting bathrooms. Fecal matter all over the toilet and walls. Filthy. Its an absolute dump. Its all we have. But until the veterans admin cleans up this place. Ugghhh. I pray that this place gets a full overhaul. In the meantime I guess I'm stuck going to this awful place.,negative
"The absolute worst hospital I have ever been to! Save yourself, your time and your money-GO SOMEWHERE ELSE! The Dr's are arrogant, rude  and do not treat the patients as they should especially for Veterans! They are not helpful at all unless you are dying as they mentioned. This is unfair, unprofessional and shameful to deal with sick individuals like this especially ones who serve our country.",negative
"I have been going here for 3years. Service is slow and everyone is rude no matter how hard you try to be nice. The wait is terrible even if you have an appointment so make sure you have the whole day free. 
That's just medical side

If you are trying to learn about claims or do anything with dental, eye glasses or anything else. I would also recommend going to a different location they are uneducated in the field they are in and will not give you the help you need. They act as if you owe them everything and that you are here to serve to there needs.",negative
Most of the doctors are great. Too much negative attitude from the civilian staff. They speak to you as if you are irritating them for asking simple questions. Anyone who attends this facility need to start getting names to head supervisors and above to help fix this issue. The bathrooms always have a foul odor and are not well kept.,negative
"I am currently admitted in the hospital due to a knee surgery.  This place truly terrifies me.  I'm not talking about the little stuff, such as bad food.  I'm talking about docs on call not returning phone calls.  Docs making me wait up to six hours for paid medication.  Doctors insisting I walk (weight bearing) on a walker the day after surgery.  This was because the docs knew the PT guys wouldn't see me on a Sunday.  I cried for hours after this from the pain.   This last surgery was to remove a 2+ cm tumor lodged into I think my femur.  Bone was removed, cadaver bone was used to replace, a steel plate and screws were added, this was a major knee surgery at nearly four hours.  

I've used VA hospitals since the 90's.  While some were very inefficient, I don't believe they were trying to do harm.  I truly believe the Miami VA Hospital is in such a rapid tizzy to have open beds, I would not be surprised if this policy killed patients (VETERANS).  Actually I would only be surprised if it didn't.  

On a bright side, The Fisher House is a Godsend.  I have not seen it personally, being dormant but my dad has been allowed to stay there since I was admitted, and he honestly loves it.  He is receiving such wonderful care.",negative
"Extremely rude and disrespectful receptionists who are clearly uneducated and do not give a damn about you or the rest of the veterans for that matter. Always miscommunication issues with calling in for general information or setting appointments. The doctors, nurses, etc. are great, no issues with them thus far... It's everyone else  you have to watch out for. Needs much improvement overall",negative
"Do not go to this hospital for any type of service. It's a shame, as Veterans, the type of medical treatment we receive. This place has no idea what medical treatment is and lack total compassion for the patient. They treat you as a guinea pig, then blame the patient when something goes wrong. These doctors, residents, interns only pass the buck with treatment. You spend a majority of the time explaining yourself, then downs the rest of the time trying to figure out what they are doing because they will NOT inform you. The term, ""the left hand does not know what the right hand is doing."" Disgusting is at best.",negative
"I used to go to this hospital,  but it was just too much of a hassle.  The wait times are crazy and the hospital itself is a zoo. It's always busy and the staff acts like the folks over at the dmv, they just don't care.  I will never go back. I'm done",negative
"Had a visit with a certain doctor, from the opening conversation, he was very condescending, My name is my name, refer to me as that our Sarge! Old man is not my Damn name!!! Luckily I had my medicine that day!!!",negative
"Some of the clinics are good, others are the worst. Specially the urinary and renal clinics. The resident doctors treat you like crap and make up lies to try and force you to have procedures for practice you don`t need. Some of the workers even tell you to read your medical reports, as they will surely mess you up in here. The ER room is the only good and caring department in the entire medical center. They always found out what was wrong with you in a few hours. If you go to other clinics, you can expect to almost die before they treat you..I was admitted a few times, and they never change the sheets or blankets or even offer some to you for your care.  If you don`t have your own clothing with you, you will be almost naked as they provide you hardly anything  to cover you up good. They never come around to bring you water other than when it is time for your meds you see a nurse.  The nurses cannot think for themselves, as they have to get permission for anything. I sure am sorry I never bought medicare when I could have, as now I am a dead duck thanks to the VA..",negative
"I had a great first impression, maybe because my mom joined. However, 5 years later I need to update this review. It's impossible to get an appointment. I will take you months and when you finally get there, YOU WAIT FOREVER! Then when you are finally seen, it's a nurse practitioner or a medschool student.  WHERE ARE THE ACTUAL DOCTORS!? I've never been able to actually sit down and discuss my injury with an orthopedic surgeon! That is insane especially considering my traumatic injuries where years ago. EVERYTIME you go to the VA, you have to take labs, WHICH RESULTS IN MORE WAITING. The Labs area is creepy too. Oh and while you do more waiting, you will be asked for money. ALOT! Panhandling is a huge problem at this VA and I've had to grab a security guard more than once because I didn't  feel safe at this VA

My advice, take a vacation day to do this.  You will be there for hours. 

The one star is for complementary valet parking for Veterans. This valet crew has always been nice and address me by mam; which is well mannered. However, after I asked for my parking validation and I was told that I couldn't have it, that it was only Validated for vets. I am a young looking female vet and have  been out for a few years. News flash, educate your staff that the FEMALE is the FUTURE VETERAN... like are you for real!!! WE ARE HERE NOW AND WE DEMAND QUALITY CARE. Its was extremely embarrassing when your staff demanded prof of my veteran status. Come on be better! 

I will be writing our state senator next. Trust & believe",negative
"This hospital is downright Dangerous.

Communication within this hospital to patients and between staff is a huge area of opportunity. I had a surgery on an infection on my hand. Upon releasing me from the hospital I was told someone would contact me. Many days later, when no one contacted me, I called the clinic and explained my story to maybe 2 dozen people, and that I have a large open wound with not enough supplies to continue dressing the wound. They told me to just see my primary care doctor in a few weeks. As it turns out, after dozens of phone calls and flagging down the borrowed surgeon from Northwestern Medical center for an improvised appointment, I was told that I had MRSA a contagious and dangerous infection. The hospital had no plans of telling me about this dangerous infection. The surgeon was appalled that no one followed up with me and that they would not schedule an appointment for me for weeks citing that the ""clinic was closed"" for nearly a half a month. Veterans, unfortunately, must be very careful with their life/health at the Jesse Brown VA Medical Center.",negative
"This is directed to the ER staff. The nurses in triage and the entire hospital are the true heroes.  They put up with the most in my opinion. Actual patients, fake patients, fluids, smells, etc.  More importantly, they roll with the punches even if they come across a belligerent patient like myself. Yes I was in severe pain and they tried their best to keep me calm.  I was a dry-heaving, blood spitting, doubled over in pain arse. It hurt a lot.  Nurses? Calming and attending.  I was very angry at having to repeat myself to different people about where it hurts and what have I've been doing to get like this.  
I'm transferred to a ER bed waiting to see one of the doctors  in the station. He walks in with his shoulder-length George Clooney circa St. Elsewhere  hair and a aire of Mr. Cock and a
Walk . I snapped when he asked me what was wrong.  I told him i was in fucking pain, still,  and it seemed like no one gave a shit. His response was classic A-hole. ""I will not examine you if you curse at me"". Not cursing in general mind you, cursing at him. I just looked at him, shook my head then proceeded to get dressed. What an dickhead! I'm in physical pain ,writhing on the bed moaning for close to 3 hours and you won't examine me because I  said a bad word?  My colourfull verbiage is an assault to your delicate ears and constitution. Weeeeelllllllll F you and your ears and constitution. 
So if you work in ER at this particular VA Hospital,  please search out this doctor and ask him to read this. Can't miss him ABOUT 5 10 dick-ish.  Also have him watch the last week tonight w/John Oliver episode about gender and race disparities in Medicine. He just struck me as one of those doctors who really believes all of the outrageous  misconceptions that were discussed.  Don't worry though, I will be filing a complaint. Might i suggest a different line of work. Crash test dummy fuckface",negative
"The bathrooms at Jessie Brown are disgusting. What does it tell you when the floors are sticking to your shoes. Half the time they are out of paper.
You are looking at three hours some days to get your blood drawn.
Seven weeks to get eye glasses because you must go to the VA lab. To get glasses from America's Best no more then a week and mostly less then that
Over all the place needs better attention paid to cleaning. Janitors  take far too many breaks. 
Security allows anyone to come in for they do not check ID'S. The building where you would apply for a pension is must more secure then anywhere in the actual medical facility. Too many Residents and not enough Attendings. If you tell the resident you want an attending they have a bad attitude about that.",negative
"It is a VA Hospital. It's loud, chaotic and disheveled and that's just the staff. It smells, it seems that only 30% of the people in the hospital are actual patients, the rest are malingerers. Administratively it is a joke. However, once you get past all of that and finally get to see a doctor, tech, or social worker there is an 80% chance you'll get good service.",negative
"This is one of the most disgusting medical centers I have seen. As a veteran and citizen, it is disgraceful in the manner this institution is kept. Some of the examining rooms are so dirty one can see the dirt and splashes of blood on the walls and lower walls with open pipes. Ladies lounge, broken walls with open pipes, poorly kept commodes, floors needing repair. This is a slum landlord. The cafeteria is full of unhealthy food, lacks proper cleaning.  Part of the problem, some veterans need lessons in hygiene thus not doing their part in cleaning up after themselves. Who hires these people, what type of training and vetting is done? The CEO and staff are lazy, they do not care about these veterans. The so-called caring social services is a joke, they care nothing for the problems of the veterans, they are to busy caring about their positions. These people are always attending meetings, I see no obvious changes. What I see are people who have positions they are not entitled because they are not doing their job just waiting until the clock strikes for them to go home. They have horrific attitudes, terrible manners and lack good communication skills. Their presence is useless and ineffective. There are services veterans desperately need and are not getting because the staff avoids telling them what is available. Most of the doctors and nurses are truly dedicated and committed to giving good medical care. If you need to be admitted to this hospital, my suggestion, look for another location.  It is so dirty one can easily come down with an infection. If you must be admitted check out the hospital ward and staff. It is an insult to treat our veterans in this manner. These are the people who died or were injured so we can have our freedoms. The hospital and staff should be charged with neglect and the health department and the CDC should evaluate.",negative
"The worst hospital ever. Aside from 90% of the nursing staff who were awesome while my husband was in ICU the doctors and surgeons dint seem to communicate. I got different stories from different surgeons. My husband went in for an.outpatient procedure and wound up In ICU intubated and sedated for four days. I argued with the doctors every day to remove the tube. Finally after swearing and yelling they brought a team in to take it out. We had a neurologist student come in just after my husband was given morphine and finally got to rest. He couldn't respond to her demands if him wKimg up so she proceeded to pinch him on his arm that had a pick line going above his heart. that is when i told her to leave. This is how we treat our veterans. No physical therapy. ICU delirium, pneumonia, strep, infection, limited use of his right arm, pain all over his body and now in medication for irregular heartbeat. This is what they gave him. I wouldnt recommend this hospital to anyone.",negative
"Waited 5 hours to be seen, then told the doctor I was in a lot of pain and he said. ""Aren't you a veteran?"" This place is terrible and I'd rather just buy insurance and not deal with them",negative
"Horrible! Called 4 different times to make an initial appointment and each time I was hung up on.

Eventually I came to their emergency room. So far I've been waiting for 2 1/2hrs after getting labs and x-rays done. An hour ago I asked how much longer and was told I was the next patient and they were waiting for a bed. Since then 4 other patients have been called and I'm still waiting.",negative
Requested a different Dr. as mine was very rude and didn't care in the least what I had to say. Was told I would be assigned to a different Dr. and never was. On a separate trip waited hours in the ER with hardly anyone there. It has been MY experience that this place does NOT care about the  Vets. I quit going completely it was so bad!!,negative
"I had-and still have-a painful shoulder.  I went to the Orthpaedic Clinic for evaluation and they wanted to schedule me for a shoulder replacement.  I researched the internet and found that one of the physicians at the Veterans Hospital specialized in shoulder replacements.  I asked her if she was going to do the surgery and she said, ""yes.""  My reply was scheduled me and the date was set.  I went in for the surgery and woke up in the middle of a room with tattered curtains separating me from other patients (one was refusing to eat the food at the VA and the aide didn't want to take him to the bathroom but that's not my situation).  after surgery I had pain in my shoulder and went back and the Doctor said it's ""normal.""  I continued to have pain and went to physical therapy and the pain persisted.  Finally during my annual visit with my Primary Care doctor, she had me see a specialist who said the surgery failed and he wanted to do another reverse shoulder surgery but I refused since ether had once chance and failed, why should I take another chance?  In researching my medal notes, admissions etc, I found that my ""specialist"" who said she would do the surgery was the Attending-not the actual surgeon and I am not only disappointed, I am suffering from a painful shoulder,  I'll go to the VA Hospital for medication but not for surgery again, they had their chance and as far as ai'm concerned the surgery was a dismal failure.",negative
"Terrible service, doesn't seem to be busy but waited over a hour for an appointment. Two people walked out of the office, no one went in and was told they were waiting for a ""room"".  What's the point of making an appointment if it's not going to be respected.",negative
"I would give zero stars if I could. 

Watched a woman beg for help in tears to a male staff member. The male vet she was with was clearly in distress and in need of assistance. It was a terrifying experience for my children, and made the entire room tense and on edge. At one point this man was agitated and not responding to people around him and began pushing the woman he was with. They did absolutely nothing to make the situation better, in fact, they didn't even look fazed by the incident. 

Apparently the nurses in the back found a suicidal vet hilarious, as they were making fun of this man and woman in front of my husband. They also spent time shit talking a heroin-addicted vet, instead of making sure people were receiving treatment. This was all done in front of other veterans waiting on care. After 2.5 hours my husband finally got an x-ray, come to find out the x-ray tech had been waiting on him for quite some time. He left without treatment because he was so upset about the behavior of the staff. He refuses to seek treatment from this facility.

Another vet was completely ignored when he asked a question to staff. They just stared at their computer and didn't bother to look up. He left without getting answers. 

Seriously one of the most disturbing, apathetic group of ""professionals"" Ive ever witnessed. They should all be fired, they have zero concern for the veterans they care for.",negative
I moved here from Seattle and the transition has been terrible. When you called for an appointment no one answers the phone the first time and they don't return the call for one to three days. I tried to make an appointment with neurology and was given an appointment 4 months from now. This is broken system here in Denver.,negative
"This is probably the 13th VA healthcare center I've frequented. I've been to about a dozen across the country and this is BY FAR the WORST! Unfortunate for veterans who have no other healthcare. I had my problems ignored, one record filled with fabrications (things I did NOT state), and have had a few providers be outrageously rude to me. They can't keep good staff because the system is broken, frustrating and outdated. Did you know they use MUMPS for their computer system? This predates MS-DOS. Dismal. Prez Trump, help!

PS, As I was waiting in the emergency department, an older veteran came in having a heart attack. He had to wait his turn in the waiting room! It was a good 15+ minutes before he received attention. Unacceptable.",negative
First time dealing with them and they are definitely living up to their reputation. Made an appointment for lab work and receptionist with an attitude said it wasn't made. I'm not leaving quietly.,negative
"I just returned... boy is my blood boiling. You know, aside from being treated like cattle from every other person in this place besides my primary care doctor, I swear the people here age discriminate. I hate having to go down to this place, it takes no less than 2 hours of my time and that's on a good day. 

Today I had the pleasure of having a parking space that I waited 10 minutes for in the garage stolen by some old couple who completely ignored that I was there long before they were, holding up parking garage traffic waiting for the spot. When confronted about it they ignored the fact that they did anything unsavory and I had to deal with some other old man waggling his finger at me for piping up. What am I, 5?

On top of that, I went the cashier to find out if I owed any money at the pharmacy and literally was completely ignored for 5 minutes. I stood there at the window without so much as a 'hello' or a head nod from the person in the box. Nearly every person I have ever had to deal with in this place seems highly incompetent, save my doctor and her staff at the firm. 

I also went down to records release today, and sat there for 10 minutes waiting for two people who had come in before me to be seen. When the administrator finally finished with the last person in front of me, he came out and walked right by me without even acknowledging my presence and helped the woman who came in 5 minutes after I did. When I finally got taken in to be helped the guy that was helping me just got up and left after slapping a form on the desk for me to fill out. Next thing I know I was being helped by another woman who came in after him.

If this is any indication of what the 'improved' healthcare system that Obama's administration forced through this country is in for a rude awakening. Unless I'm visiting the ER I must make an appointment, and my primary doctor here has a 2 MONTH wait to be seen. Isn't that ridiculous?! It's a good thing my ailments aren't life threatening or anything...",negative
"Had my first apt. Today and I showed up at 745. My apt was at 8. I waited an hour and went to the desk to ask what the hold up was. The front desk person "" It's going to be another 20 mins."" I asked why? The answer was because the doctors are in a meeting. Why would you schedule me when you know the Dr. Is in a meeting. I waited another 30 mins when they finally came out and grabbed me. This was just for a med refill. My first apt is another 3 months out. All the VA's are horrible and no customer service.",negative
This has been horrible. My poor boyfriend has been here for over an hour in severe pain with a kidney stone. He had to pass it with no pain relief. We are still waiting now and he hasn't seen a doctor. They don't have hardly anyone in here and there are 5 nurses just sitting around eating candy. They don't even check in on you!  This is the poorest excuse for a hospital ever!  If we had known we would have paid for a REAL ER. The whole point of coming here was to get immediate pain relief. It's so disappointing. I guess this is what the government pays for..... It's sad.  Apparently they have twelve beds and two doctors. I had to go ask the nurses to at least try and got nothing but sarcasm.,negative
Long waits. Horrible communication between staff and veterans. Understaffed. Lack of care.,negative
"My sister and I brought our dad here this morning for eye surgery and it's unbelievable how unprofessional and rude the hospital staff is! I have to say the ONE nurse that tended to him was very nice, professional and respectful! 
The person that came to wheel our dad away to the OR walked over to where we were waiting and didn't say I'm here to take you or anything along those lines. He stood in front of me and said, ""excuse me!""  
I kind of looked around because I didn't know where he was going, I wasn't blocking a door or anything and the only thing I was by was a wall. He says again, ""excuse me!"" So I asked, ""where are you trying to go?"" He still never said a word, but pointed in my dads direction so I got up and he began to roll my dad away still saying absolutely nothing!!!! 
We were never told where to go to wait, no one asked for either of our numbers to be notified if there were any complications or when he comes out of surgery so we just left got a bite to eat and called to check on him. 
When we returned we asked if he was out, he wasn't so we found a waiting room and asked if someone would please let us know when he comes out. 
The doctors did find us and told us how surgery went and they were nice. But when it was time to leave I requested a wheelchair for him and the lady that came to wheel him out took off with him and left me (I walk with a cane and not very fast) went to an elevator I wasn't familiar with and by the time I made the corner she was inside the elevator and doors were closing 
Like she never saw me and didn't know I was with him. My sister had gone to the pharmacy to pick up his mess and that's where we were going to meet her, but I had never been there and didn't know where I was going. My dad told her to wait and she put her arm in the doors to stop it from closing so I was able to go with him, but it was rude for her to take off and leave me!",negative
90 Miles away from Denver VA and STILL have to wait FOUR MONTHS for a doctors appointment for a 5 minute procedure.  This is costing me a fortune in loss of work!  I have called there 8 times to talk to someone and been over a month and NO ONE has bothered to even call me back.  NOTHING HAS CHANGED!  Very poor service for me as a Veteran that needs medical attention and can't afford to go to a regular doctor down here as would cost me about $3000 out of pocket for the injections!,negative
The staff is unbelievably rude. Especially the social workers.....when they are there and answer their phones which is hardly ever.,negative
"This place as they say in The Army is ""Tore up from the floor up.""

I wouldn't trust this place.  I could rant but I won't. 
Suffice it to say, this place is incompetent. I've experienced it more than once. 

Veterans, seriously.  I wouldn't take a dog here for treatment.  I sure wouldn't recommend it for empathy or human kindness. ",negative
"They were horrible. Anyone looking for medical attention and quality service is better off looking elsewhere. Please don't come here if you can help it , I promise you will be taken care of somewhere else. Not here, not worth it. Only 5 people waitin on the lobby and you still wait 2+ hours.",negative
"The customer service is horrible any time you call the main number (404) 321-6111.   They are not cordial and have an ""I don't want to work"" attitude, they do not let you finish talking before they transfer your call (and some times to the wrong dept.).   I've been on hold past 15 mins. numerous times.   Oh, and.... when you get a recording to leave your phone number so someone can call you back - guess what?  You don't get a call back!   The operators, receptionists or whatever their title is need to be replaced!  I recently moved here and was told this place is horrible.   I'm beginning to believe it.   I'm use to overall excellent service in the East coast.   I've got scheduled appointments in a couple of months I pray the Drs. are pleasant and professional.  I will let you know.",negative
"A (Decatur) should be ashamed. This place is awful; unorganized, no empathy, rude, unapologetic and disrespectful employees/staff. Today, March 12th my husband (Marine veteran) was told he had an appointment for his COVID Vaccine at 9:45 am. Two days prior he received notification that the appointment was changed to 8:00am. Upon our arrival at 7:30 am there were approximately 200-300 people in line. There was no staff present, no one setting up for shots, no social distancing, no directional signs...just awful. He advised me via cell that the included those for 1st and 2nd vaccines. After standing in line for 3 1/2 hours my husband was finally vaccinated. After moving here to Georgia recently and hearing the horror stories about THIS FACILITY, along with the previous experiences my husband has had hear, I see why this location is ranked last in the country. VA YOU HAVE TO DO BETTER FOR OUR VETERANS--YOU HAVE TO DO BETTER FOR THE PEOPLE!!",negative
"Crap! Straight Garbage!! I can see why they are ranked last in the nation!!! No matter what is wrong with you? Up to and including being gut shot with 12 gauge shotgun??? The doctors will tell you ""nothing is wrong with you."" And discharge you!!!! Worst hospital in the whole United States of America!!!!!!!!!!",negative
"Horrible. From being patronized about issues when speaking with a doctor to absolutely zero patient confidentiality. ER workers slowly drag their feet and the atmosphere is full of ""I don't want to be here"" coming from the staff. (I know how to sense that sort of toxic environment, I served 5 years) 
I left without being treated because this place made my symptoms multiple and sought out care elsewhere.",negative
"This place failed my dad and cost him his life . A terrible loss to my family that could have been avoided. His concerns were over looked and appointments were constantly delayed. Many staff members spoke to him as if his life was meaningless. Yet he put his life on the line and fought for our country . When he needed help it wasn't there for him. He complained of specific problems which were never checked at all. 
Before things went for the worse for my dad . There was a debate weather he'd ever served our country. Really? He impressed me with the documents he was able to keep in a safe place . This included pictures.
On the day of his funeral, his glasses that he'd been waiting in for nearly 6 months arrived at the house via fedex. If you want great care for your loved one, take my strong advice and look elsewhere. After you have served your country you'll be subjected to this neglect. No one should have to endure this. The only thing is guaranteed is a proper burial.",negative
"DO NOT GO TO THIS LOCATION!!!
I don't understand how they are still open . I've been here for 4 hours so far just for lab work and I still have more time to wait for other stuff to be done . They are inconsiderate and sit around and chat instead of doing their job. The same receptionist has been on break for 3 hours . They've even changed shifts while I was here . I advise for you to just go somewhere else.",negative
HORRIBLE!! ER visit waited 4.5 hours to be seen which is pretty ridiculous and that was just to get lab work done! still needed to get ct scan/ had initially called triage nurse who insisted that i go in immediately for abdominal severe pain. i would rather go to any hospital but here! let me die because clearly they don't care aren't compassionate and unprofessional. throw away the whole VA !,negative
My fiancé has been in the ER for 10 hours now and still hasn't seen the doctor.  This is ridiculous,negative
"I can't even begin to express what a pathetic system the government has in place at this location for the men & women who put their lives on danger & on the line for us to have our freedom.  My husband recently had surgery there.  I've been a nurse 28 years & in all of my years in Healthcare, I have NEVER seen a more disorganized, ""cluster"", Mickey Mouse run facility in my life.  From the change of surgeons at the last minute, to unsanitary conditions, to lack of explanation & understanding of the surgery, to the inattentiveness of dressing a surgical incision, to being told let the ""caregiver"" provide after care.  I was speechless then pissed that my loved one was treated like a statistic not a human being, much less patient.  I have written the VA Administration & while I doubt I will receive any acknowledgement, I felt others should be aware of what they are in for.",negative
The worst customer service.   If you have an 8:30 appt. you would expect to be seen before 2pm. When you check back in after waiting for hours you don't expect to be treated with a horrible attitude. I truly feel sorry for anyone who has to deal with this establishment.  It really deserves a zero star.,negative
The emergency room department sucks...... the people are rude and very slow.....prepare to be stuck just sitting there for 6 hrs or more,negative
The only regular service I use at the VA now is dental care.  I am not at all impressed with it.  Hard to get an appointment.  Treatment should be assigned out to local dentists.,negative
"I have used other VA Medical Centers, and have found the Atlanta VA is the worst you can find in the country. They could care less about taking care of the patints there. When you need something it is a constant fight to get services done there. The emergency room is a total joke and you could be there to you die. Seems that we Veterans were told that the new Director of the medial center would make better changes, but in reality the changes have been for the worse. In fact they have gotten super bad, no one cares there about what we need or ask for from it. They are going to do just what they want and don't care about the Veterans they are serving there. If you can run from them, I can't as I do not have insurance another hospital will take. So I am stuck with the piss poor service that they give to us there.",negative
"If I could rate the medical doctors, the ER, and most importantly, the Vets who work there, I would give them 5 stars.  Outside of that, you're screwed.  Everything else VA sucks!!!!  If you're lucky enough to make it to see a doctor, I think you will be more than pleased with the care.  But of course, trying to get to a doctor is the challenge.  I have nothing but praises for VA and Emory doctors.  The Vets who work there have been nothing short of helpful and empathetic towards my challenges with the VA.  Luckily for them they've had the some of the best training which allows them to excel at what they do, and skillfully manage to survive the day-to-day chaos of a broken and dysfunctional system with a smile, while maintaining their professionalism. I think one of the main problems with the VA is they employ way too many civilians who've had inferior training and are not equipped to deal with the challenges of those of us who have served.  It appears civilians are not vested in their jobs, other than barely doing a half ass job in order to receive a good paycheck. I say this based on poor attitudes and poor customer service I've received.

The parking situation is a joke.  The expectation is for VA patients to take the shuttle to the hospital, while VA employees park on campus.  This is total BS.  Why don't the employees except doctors, take the shuttle and leave the parking lots on campus FOR US VETS!!!!  The VA is suppose to be for Vets, but it appears it's for civilians who work there, and Vets just keep them employed.  What a total travesty.....

Ok, Veterans Choice is an absolute joke.  Talk about waiting to receive care at the VA Hospital, try waiting as long, if not longer for VC.  What I do like about it is that you do have options in terms of care, which seems to be good, so far.  I don't think it solves any of the VA's problems in terms of patients waiting for care.  It seems it was put in place as a pacifier and to help rid itself of the negative media coverage it has received about people dying or excessive waiting for appointments.  But it does a good job of providing an excellent alternative to some of the clinics in the VA like PT, OT, endoscopy, audiology, etc., which I do like a lot.  If they permanently outsourced those services, I wouldn't mind. I can't say anything good about mental health clinicians at the VA; not because the clinicians are not good but they are not properly trained to deal with issues experienced by Vets.  Actually, I think active duty mental health clinicians are probably the best resource for providing mental health services to veterans.",negative
