,Reviews,Stars
21,hospital downright dangerous communication within hospital patients staff huge area opportunity surgery infection hand upon releasing hospital told someone would contact many days later one contacted called clinic explained story maybe dozen people large open wound enough supplies continue dressing wound told see primary care doctor weeks turns dozens phone calls flagging borrowed surgeon northwestern medical center improvised appointment told mrsa contagious dangerous infection hospital plans telling dangerous infection surgeon appalled one followed would schedule appointment weeks citing clinic closed nearly half month veterans unfortunately must careful lifehealth jesse brown va medical center ,negative
22,directed er staff nurses triage entire hospital true heroes put opinion actual patients fake patients fluids smells etc importantly roll punches even come across belligerent patient like yes severe pain tried best keep calm dryheaving blood spitting doubled pain arse hurt lot nurses calming attending angry repeat different people hurts i've get like i'm transferred er bed waiting see one doctors station walks shoulderlength george clooney circa st elsewhere hair aire mr cock walk snapped asked wrong told fucking pain still seemed like one gave shit response classic ahole examine curse cursing general mind cursing looked shook head proceeded get dressed dickhead i'm physical pain writhing bed moaning close hours examine said bad word colourfull verbiage assault delicate ears constitution weeeeelllllllll f ears constitution work er particular va hospital please search doctor ask read can't miss dickish also watch last week tonight wjohn oliver episode gender race disparities medicine struck one doctors really believes outrageous misconceptions discussed worry though filing complaint might suggest different line work crash test dummy fuckface ,negative
23,bathrooms jessie brown disgusting tell floors sticking shoes half time paper looking three hours days get blood drawn seven weeks get eye glasses must go va lab get glasses america's best week mostly less place needs better attention paid cleaning janitors take far many breaks security allows anyone come check id's building would apply pension must secure anywhere actual medical facility many residents enough attendings tell resident want attending bad attitude ,negative
24,va hospital loud chaotic disheveled that's staff smells seems people hospital actual patients rest malingerers administratively joke however get past finally get see doctor tech social worker chance get good service ,negative
25,one disgusting medical centers seen veteran citizen disgraceful manner institution kept examining rooms dirty one see dirt splashes blood walls lower walls open pipes ladies lounge broken walls open pipes poorly kept commodes floors needing repair slum landlord cafeteria full unhealthy food lacks proper cleaning part problem veterans need lessons hygiene thus part cleaning hires people type training vetting done ceo staff lazy care veterans socalled caring social services joke care nothing problems veterans busy caring positions people always attending meetings see obvious changes see people positions entitled job waiting clock strikes go home horrific attitudes terrible manners lack good communication skills presence useless ineffective services veterans desperately need getting staff avoids telling available doctors nurses truly dedicated committed giving good medical care need admitted hospital suggestion look another location dirty one easily come infection must admitted check hospital ward staff insult treat veterans manner people died injured freedoms hospital staff charged neglect health department cdc evaluate ,negative
26,worst hospital ever aside nursing staff awesome husband icu doctors surgeons dint seem communicate got different stories different surgeons husband went anoutpatient procedure wound icu intubated sedated four days argued doctors every day remove tube finally swearing yelling brought team take neurologist student come husband given morphine finally got rest respond demands wkimg proceeded pinch arm pick line going heart told leave treat veterans physical therapy icu delirium pneumonia strep infection limited use right arm pain body medication irregular heartbeat gave wouldnt recommend hospital anyone ,negative
27,waited hours seen told doctor lot pain said veteran place terrible i'd rather buy insurance deal ,negative
28,horrible called different times make initial appointment time hung eventually came emergency room far i've waiting hrs getting labs xrays done hour ago asked much longer told next patient waiting bed since patients called i'm still waiting ,negative
29,requested different dr mine rude care least say told would assigned different dr never separate trip waited hours er hardly anyone experience place care vets quit going completely bad ,negative
30,hadand still havea painful shoulder went orthpaedic clinic evaluation wanted schedule shoulder replacement researched internet found one physicians veterans hospital specialized shoulder replacements asked going surgery said yes reply scheduled date set went surgery woke middle room tattered curtains separating patients one refusing eat food va aide want take bathroom that's situation surgery pain shoulder went back doctor said normal continued pain went physical therapy pain persisted finally annual visit primary care doctor see specialist said surgery failed wanted another reverse shoulder surgery refused since ether chance failed take another chance researching medal notes admissions etc found specialist said would surgery attendingnot actual surgeon disappointed suffering painful shoulder i'll go va hospital medication surgery chance far ai'm concerned surgery dismal failure ,negative
31,terrible service seem busy waited hour appointment two people walked office one went told waiting room what's point making appointment going respected ,negative
32,would give zero stars could watched woman beg help tears male staff member male vet clearly distress need assistance terrifying experience children made entire room tense edge one point man agitated responding people around began pushing woman absolutely nothing make situation better fact even look fazed incident apparently nurses back found suicidal vet hilarious making fun man woman front husband also spent time shit talking heroinaddicted vet instead making sure people receiving treatment done front veterans waiting care hours husband finally got xray come find xray tech waiting quite time left without treatment upset behavior staff refuses seek treatment facility another vet completely ignored asked question staff stared computer bother look left without getting answers seriously one disturbing apathetic group professionals ive ever witnessed fired zero concern veterans care ,negative
33,moved seattle transition terrible called appointment one answers phone first time return call one three days tried make appointment neurology given appointment months broken system denver ,negative
34,probably th va healthcare center i've frequented i've dozen across country far worst unfortunate veterans healthcare problems ignored one record filled fabrications things state providers outrageously rude can't keep good staff system broken frustrating outdated know use mumps computer system predates msdos dismal prez trump help ps waiting emergency department older veteran came heart attack wait turn waiting room good minutes received attention unacceptable ,negative
35,first time dealing definitely living reputation made appointment lab work receptionist attitude said made i'm leaving quietly ,negative
36,returned boy blood boiling know aside treated like cattle every person place besides primary care doctor swear people age discriminate hate go place takes less hours time that's good day today pleasure parking space waited minutes garage stolen old couple completely ignored long holding parking garage traffic waiting spot confronted ignored fact anything unsavory deal old man waggling finger piping top went cashier find owed money pharmacy literally completely ignored minutes stood window without much 'hello' head nod person box nearly every person ever deal place seems highly incompetent save doctor staff firm also went records release today sat minutes waiting two people come seen administrator finally finished last person front came walked right without even acknowledging presence helped woman came minutes finally got taken helped guy helping got left slapping form desk fill next thing know helped another woman came indication 'improved' healthcare system obama's administration forced country rude awakening unless i'm visiting er must make appointment primary doctor month wait seen ridiculous good thing ailments life threatening anything ,negative
37,first apt today showed apt waited hour went desk ask hold front desk person going another mins asked answer doctors meeting would schedule know dr meeting waited another mins finally came grabbed med refill first apt another months va's horrible customer service ,negative
38,horrible poor boyfriend hour severe pain kidney stone pass pain relief still waiting seen doctor hardly anyone nurses sitting around eating candy even check poorest excuse hospital ever known would paid real er whole point coming get immediate pain relief disappointing guess government pays sad apparently twelve beds two doctors go ask nurses least try got nothing sarcasm ,negative
39,long waits horrible communication staff veterans understaffed lack care ,negative
40,sister brought dad morning eye surgery unbelievable unprofessional rude hospital staff say one nurse tended nice professional respectful person came wheel dad away walked waiting say i'm take anything along lines stood front said excuse kind looked around know going blocking door anything thing wall says excuse asked trying go still never said word pointed dads direction got began roll dad away still saying absolutely nothing never told go wait one asked either numbers notified complications comes surgery left got bite eat called check returned asked found waiting room asked someone would please let us know comes doctors find us told us surgery went nice time leave requested wheelchair lady came wheel took left walk cane fast went elevator familiar time made corner inside elevator doors closing like never saw know sister gone pharmacy pick mess that's going meet never know going dad told wait put arm doors stop closing able go rude take leave ,negative
41,miles away denver va still wait four months doctors appointment minute procedure costing fortune loss work called times talk someone month one bothered even call back nothing changed poor service veteran needs medical attention can't afford go regular doctor would cost pocket injections ,negative
42,staff unbelievably rude especially social workerswhen answer phones hardly ever ,negative
43,place say army tore floor trust place could rant suffice say place incompetent i've experienced veterans seriously take dog treatment sure recommend empathy human kindness ,negative
44,horrible anyone looking medical attention quality service better looking elsewhere please come help promise taken care somewhere else worth people waitin lobby still wait hours ,negative
45,customer service horrible time call main number cordial want work attitude let finish talking transfer call times wrong dept i've hold past mins numerous times oh get recording leave phone number someone call back guess get call back operators receptionists whatever title need replaced recently moved told place horrible i'm beginning believe i'm use overall excellent service east coast i've got scheduled appointments couple months pray drs pleasant professional let know ,negative
46,decatur ashamed place awful unorganized empathy rude unapologetic disrespectful employeesstaff today march th husband marine veteran told appointment covid vaccine two days prior received notification appointment changed upon arrival approximately people line staff present one setting shots social distancing directional signsjust awful advised via cell included st nd vaccines standing line hours husband finally vaccinated moving georgia recently hearing horror stories facility along previous experiences husband hear see location ranked last country va better veteransyou better people ,negative
47,crap straight garbage see ranked last nation matter wrong including gut shot gauge shotgun doctors tell nothing wrong discharge worst hospital whole united states america ,negative
48,horrible patronized issues speaking doctor absolutely zero patient confidentiality er workers slowly drag feet atmosphere full want coming staff know sense sort toxic environment served years left without treated place made symptoms multiple sought care elsewhere ,negative
49,place failed dad cost life terrible loss family could avoided concerns looked appointments constantly delayed many staff members spoke life meaningless yet put life line fought country needed help complained specific problems never checked things went worse dad debate weather he'd ever served country really impressed documents able keep safe place included pictures day funeral glasses he'd waiting nearly months arrived house via fedex want great care loved one take strong advice look elsewhere served country subjected neglect one endure thing guaranteed proper burial ,negative
50,go location understand still open i've hours far lab work still time wait stuff done inconsiderate sit around chat instead job receptionist break hours they've even changed shifts advise go somewhere else ,negative
51,horrible er visit waited hours seen pretty ridiculous get lab work done still needed get ct scan initially called triage nurse insisted go immediately abdominal severe pain would rather go hospital let die clearly care compassionate unprofessional throw away whole va ,negative
52,fiancé er hours still seen doctor ridiculous ,negative
53,can't even begin express pathetic system government place location men women put lives danger line us freedom husband recently surgery i've nurse years years healthcare never seen disorganized cluster mickey mouse run facility life change surgeons last minute unsanitary conditions lack explanation understanding surgery inattentiveness dressing surgical incision told let caregiver provide care speechless pissed loved one treated like statistic human much less patient written va administration doubt receive acknowledgement felt others aware ,negative
54,worst customer service appt would expect seen pm check back waiting hours expect treated horrible attitude truly feel sorry anyone deal establishment really deserves zero star ,negative
55,emergency room department sucks people rude slowprepare stuck sitting hrs ,negative
56,regular service use va dental care impressed hard get appointment treatment assigned local dentists ,negative
57,used va medical centers found atlanta va worst find country could care less taking care patints need something constant fight get services done emergency room total joke could die seems veterans told new director medial center would make better changes reality changes worse fact gotten super bad one cares need ask going want care veterans serving run can't insurance another hospital take stuck piss poor service give us ,negative
58,could rate medical doctors er importantly vets work would give stars outside screwed everything else va sucks lucky enough make see doctor think pleased care course trying get doctor challenge nothing praises va emory doctors vets work nothing short helpful empathetic towards challenges va luckily they've best training allows excel skillfully manage survive daytoday chaos broken dysfunctional system smile maintaining professionalism think one main problems va employ way many civilians who've inferior training equipped deal challenges us served appears civilians vested jobs barely half ass job order receive good paycheck say based poor attitudes poor customer service i've received parking situation joke expectation va patients take shuttle hospital va employees park campus total bs employees except doctors take shuttle leave parking lots campus us vets va suppose vets appears civilians work vets keep employed total travesty ok veterans choice absolute joke talk waiting receive care va hospital try waiting long longer vc like options terms care seems good far think solves va's problems terms patients waiting care seems put place pacifier help rid negative media coverage received people dying excessive waiting appointments good job providing excellent alternative clinics va like pt ot endoscopy audiology etc like lot permanently outsourced services mind can't say anything good mental health clinicians va clinicians good properly trained deal issues experienced vets actually think active duty mental health clinicians probably best resource providing mental health services veterans ,negative
59,place ridiculous many issues hospital stay surgery doctors great found staff incompetent boyfriend entered system months ago told within week would receive letter telling first appointment would four months laterwe still heard anything call hold minutes get transferred somewhere else hold minutes issue still resolved terrible way treat us willing put lives line protect country ,negative
60,atlanta medical va extremely incompetent lacks compassion disabled vets going facility degrading hope next company work better medical insurance plan deal poorly run facility ,negative
61,could give va stars would believe propaganda read improving care vets atl va atlanta va medical center worst run least compassionate group people ever dealt life answer phones voice mails always full get someone phone answers blame system send back phone system lost yet wasted nearly hours lunch breaks last weeks trying resolve appointment conflicts prescription issues one person willing help resolve issue even called director leslie wiggins ext told speak even one lady hang said called back heard several office workers making fun complaint joke disgusting treat vets ,negative
62,initially went get wife seen severe depression military veterans suicide depression major issue military community get inside mental health clinic two staff members gossiping recent suicide happened within system first suicide private matter discussing inside mental health clinic freely appalling disgusted lack sensitivity matter finally gossip queens done given paperwork fill completing paperwork sent wild goose chase track social worker help us staff mental health clinic gave us zero direction could careless first time hospital first directed us set elevators told us go th floor mind certain elevators hospital take th floor know spent mins wandering halls search social worker suppose meet finally find way back mental health clinic appeared annoyed came back asking assistance th floor time sent staff member go us find social worker finally get th floor staff member wandering hall looking guys office idea even working day finally meet wife given refills medicine given kind assistance told doctor call set appointment four days ago spent hours va time spent wandering halls looking social worker guy waiting complete waste time care wellbeing literally treated like statistic bother go hospital sure give plenty time parking absolute joke ,negative
63,emergency room department far worse i've ever seen connected va medical center intake staff extremely rude nonchalant brush quickly without answering questions concerns matter time day come prepared hrs ridiculous something needs change time use shift change excuse job va construction changes need staff change people actually care providing good patient care well difficult hard ,negative
64,deserve star hospital close doors ashamed treat veterans served country th floor believe west nurses aides incompetent unemployment line arrogance attitudes unacceptable told comfortable father ever admitted hospital hoping never allow admitted trust appreciate attitudes towards patients trust care father week nightmare well entire duration stay aide gave father difficult time yelled requesting pair socks audacity especially given fact taken wellover hour rang assistance could die waiting someone answer ring assistance unacceptable lowlife steals father's phone charger bad enough person father room covid poor excuse hospital put father risk put family members add insult injury complained nurse's station person father's room coughing wearing mask felt father could risk fell deaf ears walk nurses station chitchatting acknowledging get annoyed express ignore put heads i'm explaining person constantly coughing needs addressed one darn thing days later test person find covid went patient relations handed form told filling form would probably waste time believe can't working hospital can't believe could get worse father's room disgusting filthy made several complaints blood floor father's room person covid bathroom filthy garbage left floor many times numerous complaints started clean consistently complain numerous times done also unacceptable heart goes veterans admitted hospital noticed many visitors one speak gives aides nurses freewill mistreat neglect patients person father shared room hand tied therefore could eat would think staff would top knew feed untie hands meals given nooooo hours later nurse would comes ask eat poor veteran would state suppose eat hands tied shameful disgusting hospital staff eat enjoy meal breaks let patient go unfed remain appalled disgusted angry although asked nursing supervisor name aide yelled father well nurses staff evening never gave names guess names withheld lucky certainly would endured wrath fury administrator mia run hospital shameful despicable report whomever listen done loved one's hospital please forefront care choose putting loved one risk would stay clear awful place first horrendous experience father second get third chance help ,negative
65,would never recommend hospital completely unsanitary multiple infections following surgery hospital bed moved following surgery clearly still feces another patient another patients blood floor surgical procedure body location changed day surgery simply train radiologist residence staff kind gyn never follows sinful occassions unclean conditions put detrimental situation ,negative
66,customer service personnel extremely rude transfer calls wrong department handle phone calls unprofessional impatient frustrating ,negative
67,every time schedule appointment phone availability month ridiculous sick needed see doctor immune system would already fought virusbacteria would er would gotten even sicker horrible every time schedule gyn appt doctor strolls late like walk appointment like day wait scheduled appointment early things ,negative
68,terrible problems veterans today everyone nurses doctors patronize pass buck much disgraceful service nations heroes ,negative
69,normally would leave review like bash establishment shit gone way far please explain fuck came emergency room pm there's patient sight got checked taking back ask reason coming got put bed hour half later comes doctor like really serious right almost two hours later internal bleeding better yet shit needed immediate attention could fucking died never emergency room think would get fast treatment place worst rather go regular doc pay co payment come back ,negative
70,last june appt see urologist brooklyn va second opinion arrived told med tech second opinion kidney stones quickly told va offer second opinions point left never saw doctor however months later received bill dollars copay outraged would va bill absolutely nothing went admin office complain anything answers type treatment veterans disgraceful shameful also discovered billing medical insurances including copay every time appointment feel borders criminal enterprise ought investigated inspector general put complaint we'll see entertain give followup matter near future ,negative
71,admitted hospital mental health care serous leg injury left leg stay medical floor leg started swelling bad pain becoming unbearable normal pain med relieving pain doctors refused anything relieve pain happened doctors instead puppets corporate office fucked goverment ,negative
72,months mh appt transfer another va poor customer service respond writing calls assistance worst va country zero star rating back poor performance still open ,negative
73,sence new direrctor came board place gone bad worst went release records new hrs half hr lunch seeing works walk around getting coffee wish could kind freedom working ever time go va worker line car work ,negative
74,worst care anywhere spine surgery surgeon great room constantly degrees nurses showed schedule pain meds least two hours late never changed bed linens help getting bed food service put could reach left trapped chair hrs would answer call button called hospital cell asked operator help called nurse finally showed services horrible ,negative
75,i'd recommend hospital one absolutely rude staff phone still get helppathetic ridiculous never call back say going toand first time issue happened hospital birds ,negative
76,rude staff especially pulmonary department need specialty care prepared wait call lucky enough receive call expect kind customer service people work facility care patients let alone veterans i'm disappointed care receive establishment currently november first available appointment could give breathing march last checked breathing pretty important worst medical facility north carolina ,negative
77,prepared wait months appointment wait long time show appointment make sure va id card else nazi parking garage exit demand pay even obvious blood drawn ,negative
78,miss diagnosed twice never made follow appointments said would time gone almost blinded even telling allergic penicillin prescribed penicillin based antibiotic eye drops literally every single time call appointment line every singe time minimum wait minutes minimum rude staff waited hours lobby breaking asking seen discover never printed charts sent paperwork back doctor parking horrible tiny cramped feels unclean prescription window biggest joke say go wait name appear screen yeah can't see screen alternative brought ,negative
79,absolutely terrible va hospital please anyone impotant lreading review remove current management chain command replace oif oef female veteran served years military va hospital absolute worst transferred washington dc va ahosputal went women's clinic cannot get simple referral mental health quality patient care sub standard change management patient care absolutely necessary i've waiting since since may mental health referral can't get right june i'm still dealing ridiculous beuracracy pleasetake necessary action fix horrific system durham va ,negative
80,moved arizona north carolina month ago since incompetent people enrollment eligibility able give appointment primary care doctor get transferred around put hold disconnected never called back know cant get appointment orginizatiion disgraceful disgrace people served country ,negative
81,durham va medical hospital worst especially er department need one doctor damn slow pissed right fucking star's ,negative
82,worst va clinic since becoming disabled veteran years ago rude staff usually greets desk alone makes hate going plus sent outside source bill put credit preapproval buy first house va loan bad want live wilmington va clinic ,negative
83,absolutely horrible going year yet already communication problems led missing weeks medication need try call phone rings rings someone called verify dosage already done extremely rude i've gone two weeks without meds dizzy can't hardly stand hopefully trump take care mess clinic going ,negative
84,say probably worst medical care ever received purple heart vet oif sad kind care vets receive nurse never even came ask name never assessed waited almost hours three people ed come assess wtf va come people paid well yet treat vets like shit impressed ,negative
85,scheduled surgery could find parking space seems less spots plus patients valet parking usually quick fix get around parking problem particular morning valet closed great i'm late surgery showed hour early i'm getting agitated angry i've put situation use facility choice asked later use overflow parking across river parking across river never heard guard parking lot never told us ten twenty passes made full lot signs saw maybe see signs anger cancelled surgery i'm looking better treatment options ,negative
86,i'm veteran almost every experience i've hospital subpar ,negative
87,whole va system joke there's one provider actually tried help providers pull got way get referrals outside va know rights keep mind va keep inside va ,negative
88,stand going baltimore va incompetent lazy stupid employees people jobs entire hospital needs reorganization go healthcare go perry point va although greatest comes close level ineptness baltimore va stay away baltimore va ,negative
89,completely va dealing providers listen concerns hang blurt health information hallways keep waiting hours get medicine speak disrespectfully veterans care hear complaints treated please visit va unpleasant experiences facility wonder providers given honor work finest soldiers sailors marines airmen coastguardsmen definitely speak patient advocate department break can't even go get treatment need even later every time go people rude hell impressed ,negative
90,registration horrible ignored minutes fiance extreme breathing problems ask assistance acknowledged sad treat sick people especially veterans like ,negative
91,sitting waiting hrs husband seen gum infection many waiting roomjust wrong denver va within hour shame maryland get shit together ,negative
92,va terrible location one many care veterans treated tried reach nurse schedule surgery took weeks finally get surgery scheduled would call leave secure message get call back days later time spoke tracie citron neurology department different lie unable contact timely manner called patient advocate bare minimum much help contacted directors office left messages someone call back wanted give director feedback employee job timely manner wanted convey director problems veterans might face went schedule surgery given contact info one person one person contact schedule surgery would call secure message receive call back days later time bet veterans facing issue back director tried contact times via voicemails return calls called back th time spoke young lady took info promised someone would call back well week later one called back called today th attempt spoke rude man told follow proper channels speak director explained man contact patient advocate nothing changed that's wanted speak director apparently interested hearing veterans treated filling va inspector general complaint type treatment goes va's promise mission statement intend treat veterans want employees jobs get response negative reviews yelp care veterans ,negative
93,spent hours waiting appointment doctor never showed dermatology appointment made months ago finally left explanation idiot president trump put freeze va hiring enough doctors maybe tell ahead time going blow ,negative
94,cons totally unprofessional nurses dad felt like th circle hell stay hospital loudly gossip right outside rooms hallway every single nurse came basically told us unnecessaryirrelevant information treated like child desperately need training professional patient interactioncommunication misdiagnosed pretty much kicked curb enough said ,negative
95,never review hospitals there's probably point hell i've sitting hours came father fell needed seen sitting overconditioned room three hours seen doctor one person ahead us veterans deserve better care man ahead us sitting hours agreed went kaiser places would've seen already suggest options go spend whole day room hoping see doctor ,negative
96,absolute worst healthcare facility i've doctor seeing ignored diagnosis well shouted lab results rest staff hippa psych unit's front desk staff openly complained see patients deem important waiting lobby psychiatry emergency walk took hours staff pushed newer walk patients front several times patients pushed front within one visit staff highly unprofessional ,negative
97,wow awful place see doctor asking questions typing answers can't see face blocked two computer screens asks slow can't type fast shows concern actually never makes eye eye contact constantly berating antiquated va system felt like number nothing asks want really doctor thought supposed tell serve treated sad way saying thank thanks obama care can't afford anything else screw saying 'thank service' sick hearing keep promise kept promise country served ,negative
98,wish could give negative stars place trash know va places sucks ass one especially sucks ass we've fucking hours we've gotten fucking gown waiting damn doctor come cant someone act like fucking professional swear employees act like something better help patients many veterans commit suicide day numbers could probably go fucking va employees actually something pick asses swear god veteran came suicidal thoughts left waiting room hours someone saw people risked fucking lives country least could get damn decent care fuck place ,negative
99,parking horrible horrible renovations started worse real assistance anyone helping load unload give direction offer wheel chair anything would make easier get help sick injured person waiting room disorganized joke reason give one star waiting room fairly clean triage staff dismissive i'm sure slammed question concerning long wait wait time measured hours father hours get room er doctor still seen time nurses staff back loud complaining workwho wants hear sick injured still waiting writing reviewa change administration done nothingthe veterans administration needs better ,negative
100,covid concerns kept va hospital year vabtakes care hearing hearing loss many times visited hearing clinic however past year hearing loss worsening set appointment seen maralee omg spent great deal time tweaking tuning checking rechecking hearing aids net result huge increase hear speech interpret good serves hearing clinic knowledge professional understanding merit highlighting star review thank maralee ,positive
101,soon heard veterans eligible get covid vaccine called minute opened schedule fiancé even th caller line went pretty quick person answered call friendly patient scheduled second appointment well thank ,positive
102,proud veteran happy that's there's good support benefits system place past current veterans need help might need help future lines short staff friendly helpful lots parking great access transportation plethora information clean inviting facilities great place connect veterans share information veterans benefits negative phone service work building thsts there's wifi truly great facility ,positive
103,normally seen atlanta va seattle work needed refills medications little mix needed go get meds everyone contact pleasant helpful ,positive
104,one impressed overall care provided combat veteran multiple medical problems treated respect kindness care timely fashion yes admit staff members bad day try remember patients bad days focusing anger staff patients need show respect care givers work hard us veterans way newupdated facility lots parking tons volunteers answer questions help find need extremely friendly access records request see lab xray results request appointments order rx refills contact pmd using va internet never waited long appointment pmd speciality clinic seems want see want see ,positive
105,best service could wished crawled er morning extreme stomach pain found needed appendix organized friendly i'm already home feel great i'm va often never issue love care get ,positive
106,inpatient used outpatient seattle va hospital services general overall great experiences settings female vet leary primarily male dominated enviromments however feel puget sound va gone beyond ensure safe dignified environment refreshing especially inpatient setting enjoy military comraderie without lot negative aspects treatment nonmajority gender thank seattle va heads va systems ,positive
107,lovelove va also lovelove friendly helpful courteous staff throughout hospital especially primary care clinic course pain clinic thank continuing support wonderful care ,positive
108,spent time three local hospitals last years visit days would vote va hospital best extremely friendly everything great jobs hospital also teaching hospital university washington get added help teaching doctors students complaint extended stay would food good others also use place regular checkups eye examinations hearing aids hearing checks along prosthetic's monitoring many many visits place everyone greets helps shows concern make experience pleasant possible emergency room treatment professional also friendly professional ,positive
109,received numerous treatments great sometimes patient's attitude influence providers provide great care cheers ,positive
